event_id,event_time,user_id,campaign_id,ad_id,device,country,event_type,ad_creative_id,event_date
dc600660-fce9-459d-8b99-b87226d456b8,2026-04-18 12:20:38.772786+00:00,dc7388f2-208c-46e3-afa3-462ed5272804,7,70,tablet,GH,view,51b8e18b-c567-4aaf-8869-0dd0c5e2d741,2026-04-18
d4bf3fab-6773-48bb-a941-976f81353f9e,2026-04-18 12:20:39.095800+00:00,0a675a36-8608-41e3-aeb5-c62f23e66047,39,489,tablet,TG,purchase,76e8eaaf-11b0-4f98-914d-d6af3634b333,2026-04-18
c1fd406b-f313-477c-82fa-1c3877dc5495,2026-04-18 12:20:39.198426+00:00,fe8f08fd-51bb-465a-91de-3b00d3f6eebc,68,359,tablet,AD,view,33fda9dc-a822-4925-b9b0-d5b5d11435da,2026-04-18
195d5621-2215-46dc-a7e4-ee9030aff11a,2026-04-18 12:20:39.311625+00:00,dd3a3694-6ad9-4919-802e-ac4fe8702436,2,437,desktop,IS,view,,2026-04-18
934ccb0d-2d7d-4555-80d7-9b9cb69408df,2026-04-18 12:20:39.427296+00:00,214acfd5-43c1-48d4-9ea1-f0163e1aa6f0,24,231,mobile,ZW,view,,2026-04-18
5624f030-3ebc-44e3-b48b-1a2313537c31,2026-04-18 12:20:40.807560+00:00,802736be-74d0-4bee-b5e7-b6d48ee25071,44,337,mobile,PE,click,263ed4fc-13db-4608-8c43-dd3f005bf180,2026-04-18
68e6932b-5dd1-4e12-9895-c067639013e8,2026-04-18 12:20:40.917429+00:00,79587d14-100e-4262-ac78-a10ee8e31cba,10,71,desktop,AO,purchase,9f245055-ce84-436f-bcae-0976261f635e,2026-04-18
c9d9e8e0-0353-44b8-a82c-7596035785e3,2026-04-18 12:20:41.479035+00:00,79b4dfd8-17f8-4f5c-8046-5ae0c472259f,39,117,mobile,SI,view,cc821f27-ecc5-4a9d-b82f-fc589842250e,2026-04-18
e2e89e26-85ab-452d-971b-d7906e0d20f2,2026-04-18 12:20:41.579605+00:00,d119877b-6a45-4844-971a-be3d0b0094b8,27,149,mobile,PH,view,57d4ec74-2d39-480e-9481-158c06d7eac0,2026-04-18
5d183f8a-e394-4b61-b1c4-f987e5e027c7,2026-04-18 12:20:41.902489+00:00,60d84270-8069-4e60-a4a5-8049259fdf27,64,305,tablet,AD,click,f9b073b4-e0a5-40ac-99ed-593ea9646465,2026-04-18
a9ed5433-17cc-4d3e-b327-b74c44e0668a,2026-04-18 12:20:42.009335+00:00,ede14b41-793c-414a-beef-0f52f91dc798,7,159,mobile,LC,view,ebb9f8e6-e002-4100-8aad-d90d0a9abd1d,2026-04-18
a09fcc80-2381-4cd6-bd43-90e896d4baf9,2026-04-18 12:20:42.387198+00:00,d1b0b197-69de-47c9-98e0-9e86e2d6a714,69,344,desktop,LK,view,41c9fb5c-d8bf-43f5-ae70-cef84d713018,2026-04-18
8541d8b2-40fb-425c-a904-dce6539fb95b,2026-04-18 12:20:42.495373+00:00,d1b757a2-2ede-4be0-ae0d-2b5ab6a6c62f,79,375,mobile,LC,click,debc6660-23b7-4dca-a829-c7d028f74a75,2026-04-18
7d80c77d-9d95-46ed-827b-7c1fbcdd1c83,2026-04-18 12:20:42.604278+00:00,9a51ca0a-1aef-4af8-8305-75886f95bbf4,92,311,tablet,IT,click,,2026-04-18
ff576fea-3bde-4207-8e33-79d6b189dd4e,2026-04-18 12:20:42.970715+00:00,d75ebdd0-8b6b-435b-ae4c-eeef4f7415fc,35,295,tablet,PH,view,66484c5b-2c0b-4e27-8d31-782946a622bb,2026-04-18
466e66f7-bad5-4be2-a4cf-fd536db295e3,2026-04-18 12:20:43.080754+00:00,2dfd98ea-4250-49e4-b080-04c58ea67f5a,55,163,mobile,MM,view,84576e57-df60-4b62-bb01-00a08c252ee1,2026-04-18
63b92ad3-29a6-47f8-9a90-2282e670c802,2026-04-18 12:20:43.527056+00:00,fe01e43d-7bd7-4e98-9fc8-a81ae1b33f4c,55,357,desktop,JM,click,,2026-04-18
bbe6f20a-2b19-49bd-b191-5593338c83b7,2026-04-18 12:20:43.940760+00:00,e5e52c8a-373a-4461-bc07-1483fe175324,86,229,desktop,CD,view,b2edf2df-abfd-451b-b211-2a479f26f959,2026-04-18
554d6b66-0d4f-47bb-acb7-a1be90edc904,2026-04-18 12:20:44.257442+00:00,c24fe083-3fc3-4889-91c5-211ab795c419,14,135,mobile,UZ,view,7017e06d-ccf6-46f8-bf3e-a455088de0ee,2026-04-18
0f825cbd-b370-4efb-8930-f772b4fca327,2026-04-18 12:20:44.373006+00:00,59de01fe-fdba-40db-970a-2ec17ee32f2d,90,351,mobile,AG,purchase,,2026-04-18
14071454-4ff4-431c-af74-b2af6fd4ecf5,2026-04-18 12:20:44.895981+00:00,83b78139-20c6-4392-8b6d-1bfe32f470bd,56,378,desktop,SZ,view,97a7b113-73a6-4592-9650-1c823c5ce861,2026-04-18
b6e8293a-d7db-4c93-803a-d283f55e7998,2026-04-18 12:20:45.096503+00:00,e365ac5a-b747-4988-a74e-47f39814df88,49,291,desktop,CO,view,,2026-04-18
